year,name,wins
2008,McLaren,1
2007,Ferrari,1
2006,Renault,1
2005,Renault,1
2004,Ferrari,1
2003,McLaren,1
2002,Ferrari,1
2001,Ferrari,1
2000,Ferrari,1
1999,Ferrari,1
1998,McLaren,1
1997,McLaren,1
1996,Williams,1
1995,Williams,1
1994,Williams,1
1993,McLaren,1
1992,McLaren,1
1991,McLaren,1
1990,Benetton,1
2009,Brawn,1
1989,Williams,1
1988,McLaren,1
1987,Ferrari,1
1986,McLaren,1
1985,Williams,1
2010,McLaren,1
2011,Red Bull,1
2012,McLaren,1
2013,Lotus F1,1
2014,Mercedes,1
2015,Mercedes,1
2016,Mercedes,1
2017,Ferrari,1
2018,Ferrari,1
2019,Mercedes,1
2022,Ferrari,1
2023,Red Bull,1
2024,Ferrari,1
